"","X","Covered_Recipient_Type","Teaching_Hospital_CCN","Teaching_Hospital_ID","Teaching_Hospital_Name","Recipient_Primary_Business_Street_Address_Line1","Recipient_Primary_Business_Street_Address_Line2","Recipient_City","Recipient_State","Recipient_Zip_Code","Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country","Total_Amount_of_Payment_USDollars","Date_of_Payment","Number_of_Payments_Included_in_Total_Amount","Form_of_Payment_or_Transfer_of_Value","Nature_of_Payment_or_Transfer_of_Value","City_of_Travel","State_of_Travel","Country_of_Travel","Physician_Ownership_Indicator","Third_Party_Payment_Recipient_Indicator","Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value","Charity_Indicator","Third_Party_Equals_Covered_Recipient_Indicator","Contextual_Information","Delay_in_Publication_Indicator","Record_ID","Product_Indicator","Name_of_Associated_Covered_Drug_or_Biological1","Name_of_Associated_Covered_Drug_or_Biological2","Name_of_Associated_Covered_Drug_or_Biological3","Name_of_Associated_Covered_Drug_or_Biological4","Name_of_Associated_Covered_Drug_or_Biological5","NDC_of_Associated_Covered_Drug_or_Biological1","NDC_of_Associated_Covered_Drug_or_Biological2","NDC_of_Associated_Covered_Drug_or_Biological3","NDC_of_Associated_Covered_Drug_or_Biological4","NDC_of_Associated_Covered_Drug_or_Biological5","Name_of_Associated_Covered_Device_or_Medical_Supply1","Name_of_Associated_Covered_Device_or_Medical_Supply2","Name_of_Associated_Covered_Device_or_Medical_Supply3","Name_of_Associated_Covered_Device_or_Medical_Supply4","Name_of_Associated_Covered_Device_or_Medical_Supply5","address","lon","lat"
"11",11,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","500 17TH AVE","","SEATTLE","WA","98122","Sanofi and Genzyme US Companies",100000000076,"SANOFI-AVENTIS U.S. LLC","NJ","United States",1500,"10/25/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","No","","","No",101597174,"Covered","AFLIBERCEPT","","","",NA,"0024-5840-01","","",NA,NA,"","",NA,NA,NA,"500 17TH AVE, SEATTLE, WA 98122",-122.3101639,47.6072783
"12",12,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","Seattle","WA","98104","Edwards Lifesciences Corporation",100000010633,"Edwards Lifesciences Corporation","CA","United States",200.78,"12/31/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","Equpment Loans","No",103732646,"Covered","","","","",NA,"","","",NA,NA,"Minimally Invasive Hemodynamic Monitoring","",NA,NA,NA,"325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"13",13,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","Seattle","WA","98104","Edwards Lifesciences Corporation",100000010633,"Edwards Lifesciences Corporation","CA","United States",200.78,"12/31/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","Equpment Loans","No",103732660,"Covered","","","","",NA,"","","",NA,NA,"Minimally Invasive Hemodynamic Monitoring","",NA,NA,NA,"325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"14",14,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",97.66,"11/06/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308980,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"15",15,"Covered Recipient Teaching Hospital",500008,1039,"UNIVERSITY OF WASHINGTON","1959 NE PACIFIC","","SEATTLE","WA","98195","Thermo Fisher Scientific Asheville LLC",100000010775,"Thermo Fisher Scientific Asheville LLC","NC","United States",551.62,"10/24/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",29618644,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE PACIFIC, SEATTLE, WA 98195",-122.3091341,47.6506935
"16",16,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",382.71,"12/31/2013",1,"Cash or cash equivalent","Gift","","","",NA,"No Third Party Payment","","","","","No",102120810,"Covered","","","","",NA,"","","",NA,NA,"LAPAROSCOPY","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"17",17,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",59.3,"11/01/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102309158,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"18",18,"Covered Recipient Teaching Hospital",500008,1039,"UNIVERSITY OF WASHINGTON","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Amgen Inc.",100000000203,"Amgen Inc.","CA","United States",1500,"08/05/2013",1,"Cash or cash equivalent","Charitable Contribution","","","",NA,"No Third Party Payment","","No","","","No",100581130,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"19",19,"Covered Recipient Teaching Hospital",500008,1039,"UNIVERSITY OF WASHINGTON","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Amgen Inc.",100000000203,"Amgen Inc.","CA","United States",2441.47,"09/23/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","No","","","No",100581132,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"20",20,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","Seattle","WA","98104","Edwards Lifesciences Corporation",100000010633,"Edwards Lifesciences Corporation","CA","United States",200.78,"12/31/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","Equpment Loans","No",103732654,"Covered","","","","",NA,"","","",NA,NA,"Minimally Invasive Hemodynamic Monitoring","",NA,NA,NA,"325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"21",21,"Covered Recipient Teaching Hospital",500036,1027,"Yakima Valley Memorial Hospital Association","2811 Tieton Dr","","Yakima","WA","98902","Siemens Medical Solutions USA, Inc.",100000010755,"Siemens Medical Solutions USA, Inc.","PA","United States",2896.57,"09/25/2013",1,"Cash or cash equivalent","Gift","","","",NA,"No Third Party Payment","","No","","","No",105377558,"Combination","","","","",NA,"","","",NA,NA,"HS - incl. all products and services","",NA,NA,NA,"2811 Tieton Dr, Yakima, WA 98902",-120.5477599,46.5938121
"22",22,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",139.4,"10/09/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374902,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"23",23,"Covered Recipient Teaching Hospital",500088,1038,"Public Hospital District #1 Of King County","400 S 43rd St","","Renton","WA","98055","AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP","DE","United States",240.68,"10/31/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","No","","Exhibit Display Fee","No",101174564,"Covered","FASLODEX","","","",NA,"0003100720","","",NA,NA,"","",NA,NA,NA,"400 S 43rd St, Renton, WA 98055",-122.2143069,47.4424335
"24",24,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","","Tacoma","WA","98405","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",478.56,"11/14/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",102309220,"Covered","","","","",NA,"","","",NA,NA,"Chemistry","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"25",25,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",2160,"10/10/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307564,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"26",26,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Stryker Corporation",100000010503,"Stryker Corporation","MI","United States",3318,"12/30/2013",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","","No",104174844,"Covered","","","","",NA,"","","",NA,NA,"NEURO","",NA,NA,NA,"1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"27",27,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 MARTIN LUTHER KING JR WAY","STE 4","TACOMA","WA","98405","Novo Nordisk Inc",100000000144,"Novo Nordisk Inc","NJ","United States",900,"10/23/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","","No",221956598,"Covered","Levemir","NovoLog","Victoza","",NA,"0169-6439-90","0169-6339-90","0169-4060-90",NA,NA,"","",NA,NA,NA,"315 MARTIN LUTHER KING JR WAY, TACOMA, WA 98405",-122.4529682,47.2593601
"28",28,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Pfizer Inc.",100000000286,"Pfizer Inc.","NY","United States",5000,"08/09/2013",1,"Cash or cash equivalent","Charitable Contribution","","","",NA,"No Third Party Payment","","","","","No",205672230,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"29",29,"Covered Recipient Teaching Hospital",500008,1039,"University of Washington","1959 NE Pacific Street","","Seattle","WA","98195","Abbott Laboratories",100000010680,"Abbott Laboratories","IL","United States",12000,"12/23/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102322178,"Covered","","","","",NA,"","","",NA,NA,"Vascular","",NA,NA,NA,"1959 NE Pacific Street, Seattle, WA 98195",-122.3091341,47.6506935
"30",30,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Bristol-Myers Squibb Company",100000005499,"E.R. Squibb & Sons, L.L.C.","NJ","United States",1500,"08/27/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",101539882,"Covered","SPRYCEL","","","",NA,"0003085722","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"31",31,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",32,"08/14/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307222,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"32",32,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 Ne Pacific St","","Seattle","WA","98195","Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company","NJ","United States",2380,"10/31/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","Evaluation required longer than 90 days.","No",101737154,"Covered","","","","",NA,"","","",NA,NA,"Infectious Disease","",NA,NA,NA,"1959 Ne Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"33",33,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",59.3,"10/11/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308600,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"34",34,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","Seattle","WA","98104","Edwards Lifesciences Corporation",100000010633,"Edwards Lifesciences Corporation","CA","United States",200.78,"12/31/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","Equpment Loans","No",103732670,"Covered","","","","",NA,"","","",NA,NA,"Minimally Invasive Hemodynamic Monitoring","",NA,NA,NA,"325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"35",35,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","HeartWare, Inc.",100000011163,"HeartWare, Inc.","MA","United States",103.67,"08/24/2013",1,"In-kind items and services","Travel and Lodging","Chicago","IL","United States",NA,"No Third Party Payment","","No","","","No",105395246,"Covered","","","","",NA,"","","",NA,NA,"HeartWare Ventricular Assist System","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"36",36,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 BROADWAY","","SEATTLE","WA","98122","Pfizer Inc.",100000000286,"Pfizer Inc.","NY","United States",1500,"08/23/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",205662550,"Covered","LYRICA","CELEBREX","FLECTOR PATCH","",NA,"0071101268","0025151501","6079341130",NA,NA,"","",NA,NA,NA,"747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
"37",37,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",168.77,"10/02/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308972,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"38",38,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",59.3,"11/06/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308620,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"39",39,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",100.45,"08/07/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308580,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"40",40,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",37.5,"08/16/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374850,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"41",41,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",240,"08/07/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307288,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"42",42,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","Seattle","WA","98104","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",676,"12/18/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308110,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"43",43,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",470,"12/17/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374676,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"44",44,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",878.6,"10/18/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374906,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"45",45,"Covered Recipient Teaching Hospital",500129,1031,"MULTICARE HEALTH SYSTEM","315 MARTIN LUTHER KING JR WAY","MULTICARE DISTRIBUTION CENTER","TACOMA","WA","98405-4234","Helena Laboratories Corporation",100000005555,"Helena Laboratories Corporation","TX","United States",79,"09/20/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",109955084,"Non-covered","","","","",NA,"","","",NA,NA,"SPIFE IFE-9 ANTISERA TRAY","",NA,NA,NA,"315 MARTIN LUTHER KING JR WAY, TACOMA, WA 98405-4234",-122.4529682,47.2593601
"46",46,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","School of Dentistry","Seattle","WA","98195","Henry Schein, Inc.",100000005547,"Henry Schein, Inc.","NY","United States",1416.67,"11/30/2013",1,"In-kind items and services","Charitable Contribution","","","",NA,"No Third Party Payment","","","","","No",187965400,"Covered","","","","",NA,"","","",NA,NA,"Equipment  Large Small High Tech","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"47",47,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",59.3,"11/01/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102309160,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
